week,ajb9b3.csv,ajdqnf.csv,amsh7c.csv,anfz9.csv,bay6g7.csv,bpc42.csv,cjdk88.csv,ctkbn4.csv,dlokv6.csv,dsdxd8.csv,dtqb7d.csv,elnfhc.csv,habc8.csv,hemmb2.csv,hmnhx4.csv,hnldm2.csv,jac345.csv,jahq76.csv,jdf5g4.csv,jfk535.csv,jhgn9c.csv,jkn7fc.csv,jlgwxc.csv,jlkm94.csv,jmd5h8.csv,jrrgxf.csv,kab5zb.csv,kah89f.csv,kdcncc.csv,kedgm9.csv,krh5f5.csv,mdvw5.csv,mjpg95.csv,mmg9n6.csv,ms8m4.csv,mtf7w2.csv,mwwcn6.csv,ngtp8b.csv,nhm2p3.csv,njd5zf.csv,nm8c7.csv,oro26b.csv,pecxc9.csv,pnb79.csv,pt7td.csv,rrg3md.csv,tah5z2.csv,tcdzb7.csv,tjdpzd.csv,tlgdq9.csv,vvmmvd.csv,wahbf.csv,wgocnc.csv,zws2p8.csv
week1,0.001,0.001,12689.665289416509,0.001,0.001,4082.945686424719,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1640.749007936508,0.001,1092.2971909106104,0.001,0.001,806.7668544690603,0.001,0.001,0.001,0.001,0.001,15.957446808510635,0.001,89.89310009718174,0.001,30120.225694444438,0.001,0.001,0.001,0.001,1982.421875,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5882.8125,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
week1,0.001,0.001,1968.4724372555413,0.001,0.001,4797.6305931855495,0.001,0.001,0.001,16.725352112676056,0.001,0.001,0.001,1041.40625,0.001,9795.373186708826,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7477.849804085117,0.001,0.001,0.001,0.001,4846.354166666667,69.57236842105263,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1245.4193376068374,0.001,0.001,0.001,7125.0,0.001,0.001,0.001,7034.2050661355515,0.001,66.82180851063829
week1,0.001,0.001,1294.8800792883235,0.001,0.001,1403.7417288937465,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1682.1199633699634,0.001,42.07962440295267,0.001,0.001,0.001,0.001,969.0824468085108,0.001,0.001,0.001,0.001,0.001,48.87820512820514,0.001,34.94834158896659,48.87820512820514,59.5703125,0.001,0.001,3872.0711268378323,0.001,0.001,953.125,0.001,0.001,0.001,0.001,0.001,0.001,1848.7062988725227,0.001,22054.50148809524,48.87820512820514,0.001,52.95138888888889,0.001,0.001,1723.379590803776,0.001,0.001
week1,0.001,0.001,3926.682692307693,0.001,0.001,53.32167832167834,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1315.2544070512822,0.001,76.83628683926699,0.001,0.001,0.001,0.001,52.95138888888889,0.001,0.001,54.464285714285715,59.5703125,1906.25,0.001,3500.0,0.001,0.001,0.001,0.001,52.95138888888889,3140.625,987.9111842105265,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8372.710622710623,0.001,46236.444256756746,0.001,10871.53820163331,0.001,0.001,0.001,558.6320718816467,0.001,66.82180851063829
week1,56.066176470588246,0.001,3026.1656746031745,0.001,5682.446732954546,4452.265094593476,0.001,54.464285714285715,0.001,0.001,0.001,0.001,0.001,1052.3206588669952,0.001,72.35203535036078,0.001,0.001,0.001,0.001,40.11946403792785,0.001,50.16447368421053,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,51.520270270270274,0.001,7745.5357142857165,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5525.841346153847,0.001,0.001,51.520270270270274,80.06650518442972,0.001,0.001,0.001,2792.668269230769,0.001,50.16447368421053
week1,0.001,0.001,1508.5538775917066,0.001,38.93272107712766,3820.8733275236373,0.001,0.001,0.001,56.066176470588246,0.001,1906.25,0.001,1035.435267857143,52.95138888888889,95.6052676733013,0.001,0.001,980.3571428571428,0.001,0.001,0.001,0.001,0.001,0.001,504.59558823529403,0.001,11.432926829268293,0.001,0.001,7960.1338988757825,0.001,0.001,4227.616567460318,68.84765625,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3689.191729323308,0.001,52.95138888888889,0.001,121644.15064102564,0.001,0.001,0.001,31877.478632449067,0.001,79.78723404255321
week1,0.001,0.001,2074.136800699301,0.001,94.88940775561406,4038.763330853175,0.001,0.001,0.001,0.001,0.001,0.001,0.001,943.8127790178572,0.001,79.53789893617021,0.001,0.001,0.001,0.001,39.893617021276604,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13640.625,0.001,39018.75,6024.305555555556,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5385.602678571428,0.001,0.001,0.001,7125.0,29819.878472222223,0.001,0.001,9018.08846548788,0.001,0.001
week1,0.001,0.001,1424.7063386524826,0.001,8103.032570422535,3769.759643026244,0.001,0.001,0.001,0.001,0.001,0.001,0.001,992.4812030075187,0.001,73.6089725643897,0.001,0.001,10.106382978723405,0.001,19.655553413152198,0.001,0.001,0.001,0.001,0.001,0.001,27.217741935483872,0.001,0.001,1194.248188405797,11.455278592375365,166.66666666666666,3827.4671942640703,69.57236842105263,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4033.110119047619,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12789.713541666664,0.001,79.78723404255321
week1,0.001,0.001,2209.380114566285,0.001,39.06509724069149,3574.101106889779,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1065.2901785714287,0.001,78.29122340425532,0.001,0.001,0.001,0.001,15.184859154929578,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,33567.65267551127,14.27469135802469,0.001,5466.562914371684,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5689.453125,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12718.86268028846,0.001,0.001
week1,0.001,0.001,1424.7351317663815,0.001,0.001,4289.766987492171,0.001,15.078671328671328,0.001,0.001,0.001,0.001,0.001,2258.370052566481,0.001,74.31640625,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6038.0565012726465,0.001,10382.8125,7116.174768518518,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3818.627450980392,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4956.714189793138,0.001,0.001
