,windows,doctets/duration
0,1360587600,0.001
1,1360587827,0.001
2,1360588054,0.001
3,1360588281,0.001
4,1360588508,0.001
5,1360588735,56.066176470588246
6,1360588962,0.001
7,1360589189,0.001
8,1360589416,0.001
9,1360589643,0.001
10,1360589870,0.001
11,1360590097,0.001
12,1360590324,0.001
13,1360590551,0.001
14,1360590778,0.001
15,1360591005,0.001
16,1360591232,0.001
17,1360591459,0.001
18,1360591686,0.001
19,1360591913,0.001
20,1360592140,0.001
21,1360592367,0.001
22,1360592594,0.001
23,1360592821,0.001
24,1360593048,0.001
25,1360593275,0.001
26,1360593502,0.001
27,1360593729,0.001
28,1360593956,0.001
29,1360594183,0.001
30,1360594410,7125.0
31,1360594637,7061.967268892035
32,1360594864,5343.75
33,1360595091,52.95138888888889
34,1360595318,593.75
35,1360595545,7125.0
36,1360595772,3588.9756944444443
37,1360595999,67805.60325091575
38,1360596226,1213.2601351351352
39,1360596453,7125.0
40,1360596680,0.001
41,1360596907,3562.5
42,1360597134,7125.0
43,1360597361,21620.403624733393
44,1360597588,890.625
45,1360597815,7125.0
46,1360598042,2968.75
47,1360598269,18413.749977345222
48,1360598496,21347.83142704167
49,1360598723,0.001
50,1360598950,0.001
51,1360599177,0.001
52,1360599404,0.001
53,1360599631,0.001
54,1360599858,0.001
55,1360600085,0.001
56,1360600312,0.001
57,1360600539,0.001
58,1360600766,12186.197916666664
59,1360600993,0.001
60,1360601220,0.001
61,1360601447,0.001
62,1360601674,0.001
63,1360601901,0.001
64,1360602128,0.001
65,1360602355,11.522861356932152
66,1360602582,0.001
67,1360602809,0.001
68,1360603036,0.001
69,1360603263,0.001
70,1360603490,1857.8725961538462
71,1360603717,978.810579842006
72,1360603944,8284.962011442409
73,1360604171,1009.309715762812
74,1360604398,1152.4781942479967
75,1360604625,1112.5635316022544
76,1360604852,4284.296072401955
77,1360605079,0.001
78,1360605306,0.001
79,1360605533,134.4256072874494
80,1360605760,0.001
81,1360605987,0.001
82,1360606214,0.001
83,1360606441,0.001
84,1360606668,0.001
85,1360606895,0.001
86,1360607122,0.001
87,1360607349,0.001
88,1360607576,0.001
89,1360607803,0.001
90,1360608030,0.001
91,1360608257,0.001
92,1360608484,0.001
