,windows,doctets/duration
0,1360587600,0.001
1,1360587827,0.001
2,1360588054,0.001
3,1360588281,0.001
4,1360588508,0.001
5,1360588735,0.001
6,1360588962,0.001
7,1360589189,0.001
8,1360589416,0.001
9,1360589643,0.001
10,1360589870,0.001
11,1360590097,0.001
12,1360590324,0.001
13,1360590551,0.001
14,1360590778,0.001
15,1360591005,0.001
16,1360591232,0.001
17,1360591459,0.001
18,1360591686,0.001
19,1360591913,0.001
20,1360592140,0.001
21,1360592367,0.001
22,1360592594,0.001
23,1360592821,0.001
24,1360593048,0.001
25,1360593275,0.001
26,1360593502,0.001
27,1360593729,0.001
28,1360593956,0.001
29,1360594183,0.001
30,1360594410,0.001
31,1360594637,0.001
32,1360594864,0.001
33,1360595091,0.001
34,1360595318,0.001
35,1360595545,0.001
36,1360595772,0.001
37,1360595999,0.001
38,1360596226,0.001
39,1360596453,0.001
40,1360596680,0.001
41,1360596907,0.001
42,1360597134,0.001
43,1360597361,0.001
44,1360597588,0.001
45,1360597815,0.001
46,1360598042,0.001
47,1360598269,0.001
48,1360598496,0.001
49,1360598723,0.001
50,1360598950,0.001
51,1360599177,0.001
52,1360599404,0.001
53,1360599631,0.001
54,1360599858,0.001
55,1360600085,0.001
56,1360600312,0.001
57,1360600539,0.001
58,1360600766,0.001
59,1360600993,0.001
60,1360601220,0.001
61,1360601447,0.001
62,1360601674,0.001
63,1360601901,0.001
64,1360602128,0.001
65,1360602355,0.001
66,1360602582,0.001
67,1360602809,0.001
68,1360603036,0.001
69,1360603263,0.001
70,1360603490,0.001
71,1360603717,0.001
72,1360603944,0.001
73,1360604171,0.001
74,1360604398,0.001
75,1360604625,0.001
76,1360604852,0.001
77,1360605079,0.001
78,1360605306,0.001
79,1360605533,0.001
80,1360605760,0.001
81,1360605987,0.001
82,1360606214,0.001
83,1360606441,0.001
84,1360606668,0.001
85,1360606895,0.001
86,1360607122,0.001
87,1360607349,0.001
88,1360607576,0.001
89,1360607803,0.001
90,1360608030,0.001
91,1360608257,0.001
92,1360608484,0.001
93,1360608711,0.001
94,1360608938,0.001
95,1360609165,0.001
96,1360609392,0.001
97,1360609619,0.001
98,1360609846,0.001
99,1360610073,0.001
100,1360610300,0.001
