,windows,doctets/duration
0,1360587600,0.001
1,1360587827,0.001
2,1360588054,0.001
3,1360588281,0.001
4,1360588508,0.001
5,1360588735,11294.375
6,1360588962,56.48035709488502
7,1360589189,0.001
8,1360589416,0.001
9,1360589643,5099.97888442244
10,1360589870,39.010555186170215
11,1360590097,39.22872340425532
12,1360590324,0.001
13,1360590551,0.001
14,1360590778,0.001
15,1360591005,276.3495299545993
16,1360591232,323.6382952013485
17,1360591459,0.001
18,1360591686,0.001
19,1360591913,0.001
20,1360592140,0.001
21,1360592367,0.001
22,1360592594,0.001
23,1360592821,0.001
24,1360593048,3871.540970759721
25,1360593275,83.81835467772969
26,1360593502,0.001
27,1360593729,197.5323786283349
28,1360593956,0.001
29,1360594183,0.001
30,1360594410,0.001
31,1360594637,0.001
32,1360594864,0.001
33,1360595091,0.001
34,1360595318,0.001
35,1360595545,0.001
36,1360595772,0.001
37,1360595999,1906.25
38,1360596226,0.001
39,1360596453,0.001
40,1360596680,0.001
41,1360596907,0.001
42,1360597134,3501.875633390104
43,1360597361,0.001
44,1360597588,179.46493062209012
45,1360597815,0.001
46,1360598042,6524.479166666667
47,1360598269,2321.110026041667
48,1360598496,50.590042308162275
49,1360598723,0.001
50,1360598950,0.001
51,1360599177,0.001
52,1360599404,176.92503122264054
53,1360599631,0.001
54,1360599858,0.001
55,1360600085,32.608695652173914
56,1360600312,955.2341954128832
57,1360600539,187.02412381389655
58,1360600766,35.65100559073818
59,1360600993,0.001
60,1360601220,9951.822916666666
61,1360601447,35.93916673874186
62,1360601674,0.001
63,1360601901,96.33037042672618
64,1360602128,6626.461404586405
65,1360602355,38.93272107712766
66,1360602582,0.001
67,1360602809,99.64234664706362
68,1360603036,0.001
69,1360603263,0.001
70,1360603490,301.7305164101383
71,1360603717,0.001
72,1360603944,0.001
73,1360604171,0.001
74,1360604398,0.001
75,1360604625,213.51997150110006
76,1360604852,0.001
77,1360605079,0.001
78,1360605306,1492.2730672244227
79,1360605533,0.001
80,1360605760,0.001
81,1360605987,0.001
82,1360606214,0.001
83,1360606441,0.001
84,1360606668,0.001
85,1360606895,0.001
86,1360607122,0.001
87,1360607349,0.001
88,1360607576,0.001
89,1360607803,0.001
90,1360608030,0.001
