,windows,doctets/duration
0,1360587600,0.001
1,1360587827,0.001
2,1360588054,0.001
3,1360588281,0.001
4,1360588508,0.001
5,1360588735,0.001
6,1360588962,0.001
7,1360589189,0.001
8,1360589416,0.001
9,1360589643,0.001
10,1360589870,0.001
11,1360590097,0.001
12,1360590324,0.001
13,1360590551,0.001
14,1360590778,0.001
15,1360591005,0.001
16,1360591232,0.001
17,1360591459,0.001
18,1360591686,0.001
19,1360591913,0.001
20,1360592140,0.001
21,1360592367,0.001
22,1360592594,0.001
23,1360592821,0.001
24,1360593048,0.001
25,1360593275,0.001
26,1360593502,0.001
27,1360593729,0.001
28,1360593956,0.001
29,1360594183,0.001
30,1360594410,0.001
31,1360594637,0.001
32,1360594864,0.001
33,1360595091,0.001
34,1360595318,0.001
35,1360595545,0.001
36,1360595772,0.001
37,1360595999,0.001
38,1360596226,0.001
39,1360596453,0.001
40,1360596680,0.001
41,1360596907,0.001
42,1360597134,108.95061573888667
43,1360597361,0.001
44,1360597588,0.001
45,1360597815,0.001
46,1360598042,5.940082644628099
47,1360598269,4193.189242160279
48,1360598496,1704.3007356244386
49,1360598723,709.2773288706375
50,1360598950,484.961089748837
51,1360599177,311.1306418277764
52,1360599404,12.525631767480679
53,1360599631,556.2285157097061
54,1360599858,311.26808217962366
55,1360600085,13.738799666565242
56,1360600312,26.23487538455286
57,1360600539,14278.167117276156
58,1360600766,1562.2758249976125
59,1360600993,1457.8125
60,1360601220,1427.8263233596115
61,1360601447,5694.832616707617
62,1360601674,2060.482337060564
63,1360601901,1263.0624289599239
64,1360602128,1214.9053000923357
65,1360602355,6499.574773044221
66,1360602582,3952.0392114304964
67,1360602809,1694.253870546896
68,1360603036,1976.7045042358188
69,1360603263,4207.328073135964
70,1360603490,2390.517836017856
71,1360603717,366.91430624623865
72,1360603944,23.781615382733328
73,1360604171,22170.157526128187
74,1360604398,23808.024343911147
75,1360604625,986.0863095238095
76,1360604852,12687.592804554322
77,1360605079,28893.65656806616
78,1360605306,30708.091308641007
79,1360605533,284.7072963800905
80,1360605760,20725.623501949514
81,1360605987,29005.728088593292
82,1360606214,48412.329727284836
83,1360606441,4193.264995962888
84,1360606668,14228.025177389905
85,1360606895,25164.512687186714
