,windows,doctets/duration
0,1360587600,0.001
1,1360587900,0.001
2,1360588200,0.001
3,1360588500,54.464285714285715
4,1360588800,0.001
5,1360589100,0.001
6,1360589400,0.001
7,1360589700,0.001
8,1360590000,0.001
9,1360590300,0.001
10,1360590600,0.001
11,1360590900,0.001
12,1360591200,16.843971631205672
13,1360591500,0.001
14,1360591800,0.001
15,1360592100,0.001
16,1360592400,14323.105594958475
17,1360592700,21922.59000541568
18,1360593000,3609.375
19,1360593300,0.001
20,1360593600,221.5909090909091
21,1360593900,3243.0989583333335
22,1360594200,1470.129641137942
23,1360594500,5122.212951071145
24,1360594800,0.001
25,1360595100,0.001
26,1360595400,4476.5625
27,1360595700,51.520270270270274
28,1360596000,56.066176470588246
29,1360596300,10.106382978723405
30,1360596600,39.473684210526315
31,1360596900,164.2896719858156
32,1360597200,34.31061165470881
33,1360597500,0.001
34,1360597800,0.001
35,1360598100,0.001
36,1360598400,0.001
37,1360598700,0.001
38,1360599000,0.001
39,1360599300,0.001
40,1360599600,0.001
41,1360599900,0.001
42,1360600200,0.001
43,1360600500,0.001
44,1360600800,0.001
45,1360601100,0.001
46,1360601400,0.001
47,1360601700,4223.660714285715
48,1360602000,7125.0
49,1360602300,135.41666666666666
50,1360602600,0.001
51,1360602900,0.001
52,1360603200,0.001
53,1360603500,0.001
54,1360603800,0.001
55,1360604100,0.001
56,1360604400,6282.748453548086
57,1360604700,4141.234823267137
58,1360605000,1432.0579594017095
59,1360605300,16.964285714285708
60,1360605600,190.1905293367347
61,1360605900,0.001
62,1360606200,28323.74293918165
63,1360606500,3878.0685999071197
64,1360606800,16625.427602625317
65,1360607100,48266.529501675475
66,1360607400,2715.277777777778
67,1360607700,101053.43326389597
68,1360608000,118750.73149319863
69,1360608300,10730.951322874345
70,1360608600,2986.6443165145392
71,1360608900,11337.452798616136
72,1360609200,4526.619926369787
73,1360609500,8522.172884177711
74,1360609800,32528.37905181614
75,1360610100,68850.55087983324
76,1360610400,4062.748015873016
77,1360610700,860.4738326542267
78,1360611000,5117.1875
79,1360611300,11.22485632183908
80,1360611600,135.41666666666666
81,1360611900,0.001
82,1360612200,0.001
83,1360612500,0.001
84,1360612800,0.001
85,1360613100,0.001
86,1360613400,113.44304733727812
87,1360613700,0.001
88,1360614000,5715.914297310051
89,1360614300,16270.634250207244
90,1360614600,22311.77471520523
91,1360614900,3350.2677939093483
92,1360615200,73.93973214285714
93,1360615500,1488.3067810457517
94,1360615800,0.001
95,1360616100,0.001
96,1360616400,0.001
97,1360616700,0.001
98,1360617000,0.001
99,1360617300,0.001
100,1360617600,0.001
101,1360617900,0.001
102,1360618200,504939.97260029474
103,1360618500,742123.6757737012
104,1360618800,8.380332037137988
105,1360619100,24559.269676431544
106,1360619400,420.8265720081136
107,1360619700,191.2871532480594
108,1360674000,0.001
109,1360674300,0.001
110,1360674600,0.001
111,1360674900,0.001
112,1360675200,0.001
113,1360675500,0.001
114,1360675800,0.001
115,1360676100,0.001
116,1360676400,0.001
117,1360676700,0.001
118,1360677000,0.001
119,1360677300,0.001
120,1360677600,0.001
121,1360677900,0.001
122,1360678200,0.001
123,1360678500,0.001
124,1360678800,0.001
125,1360679100,11.32246376811594
126,1360679400,0.001
127,1360679700,0.001
128,1360680000,13396.326144094
129,1360680300,32976.05196091524
130,1360680600,762.4841533687943
131,1360680900,270.8333333333333
132,1360681200,0.001
133,1360681500,0.001
134,1360681800,8953.125
135,1360682100,0.001
136,1360682400,0.001
137,1360682700,0.001
138,1360683000,0.001
139,1360683300,0.001
140,1360683600,10.106382978723405
141,1360683900,10.127977814148029
142,1360684200,4107.553177521008
143,1360684500,2085.2163461538466
144,1360684800,0.001
145,1360685100,4890.625
146,1360685400,221.5909090909091
147,1360685700,0.001
148,1360686000,4408.653846153847
149,1360686300,4408.653846153847
150,1360686600,0.001
151,1360686900,4253.90625
152,1360687200,4246.531542523363
153,1360687500,3107.7102127082717
154,1360687800,3051.5458776595747
155,1360688100,75.14367816091954
156,1360688400,6.521739130434782
157,1360688700,0.001
158,1360689000,0.001
159,1360689300,0.001
160,1360689600,0.001
161,1360689900,0.001
162,1360690200,0.001
163,1360690500,0.001
164,1360690800,5348.958333333333
165,1360691100,1781.25
166,1360691400,135.41666666666666
167,1360691700,0.001
168,1360692000,0.001
169,1360692300,0.001
170,1360692600,0.001
171,1360692900,2650.07018321513
172,1360693200,2704.3241763999654
173,1360693500,3439.360119047619
174,1360693800,7125.0
175,1360694100,0.001
176,1360694400,135.41666666666666
177,1360694700,0.001
178,1360695000,0.001
179,1360695300,0.001
180,1360695600,0.001
181,1360695900,0.001
182,1360696200,0.001
183,1360696500,0.001
184,1360696800,0.001
185,1360697100,125.72875494071147
186,1360697400,0.001
187,1360697700,0.001
188,1360698000,0.001
189,1360698300,0.001
190,1360698600,0.001
191,1360698900,33.333333333333336
192,1360699200,0.001
193,1360699500,0.001
194,1360699800,0.001
195,1360700100,0.001
196,1360700400,0.001
197,1360700700,0.001
198,1360701000,0.001
199,1360701300,0.001
200,1360701600,0.001
201,1360701900,0.001
202,1360702200,0.001
203,1360702500,0.001
204,1360702800,0.001
205,1360703100,0.001
206,1360703400,0.001
207,1360703700,0.001
208,1360704000,0.001
209,1360704300,0.001
210,1360704600,0.001
211,1360704900,0.001
212,1360705200,0.001
213,1360705500,0.001
214,1360705800,1575.5869881948595
215,1360706100,21306.191515678718
216,1360760400,0.001
217,1360760700,0.001
218,1360761000,0.001
219,1360761300,0.001
220,1360761600,0.001
221,1360761900,0.001
222,1360762200,0.001
223,1360762500,0.001
224,1360762800,0.001
225,1360763100,0.001
226,1360763400,0.001
227,1360763700,54.464285714285715
228,1360764000,0.001
229,1360764300,0.001
230,1360764600,0.001
231,1360764900,0.001
232,1360765200,0.001
233,1360765500,0.001
234,1360765800,0.001
235,1360766100,0.001
236,1360766400,0.001
237,1360766700,36743.7221692112
238,1360767000,335.5595516333549
239,1360767300,890.925171336941
240,1360767600,0.001
241,1360767900,0.001
242,1360768200,4478.983918128655
243,1360768500,0.001
244,1360768800,0.001
245,1360769100,0.001
246,1360769400,35.714285714285715
247,1360769700,0.001
248,1360770000,0.001
249,1360770300,0.001
250,1360770600,0.001
251,1360770900,0.001
252,1360771200,0.001
253,1360771500,0.001
254,1360771800,0.001
255,1360772100,0.001
256,1360772400,0.001
257,1360772700,0.001
258,1360773000,0.001
259,1360773300,0.001
260,1360773600,1454.1342703349283
261,1360773900,0.001
262,1360774200,11.388483965014574
263,1360774500,0.001
264,1360774800,0.001
265,1360775100,0.001
266,1360775400,0.001
267,1360775700,0.001
