,windows,doctets/duration
0,1360587600,0.001
1,1360587900,0.001
2,1360588200,59.5703125
3,1360588500,0.001
4,1360588800,0.001
5,1360589100,7960.133898875783
6,1360589400,13640.625
7,1360589700,1194.248188405797
8,1360590000,33567.65267551127
9,1360590300,6038.056501272647
10,1360590600,5882.8125
11,1360590900,1078.4259538456186
12,1360591200,852.3008507337062
13,1360591500,431.7102154031684
14,1360591800,322.7216581963303
15,1360592100,23499.661543963168
16,1360592400,460.17455871432566
17,1360592700,3700.5044237569764
18,1360593000,122.72945604855128
19,1360593300,65.57078086089196
20,1360593600,136.85411662206997
21,1360593900,8725.594277046483
22,1360594200,2375.0
23,1360594500,7378.527980525387
24,1360594800,0.001
25,1360595100,59.5703125
26,1360595400,0.001
27,1360595700,0.001
28,1360596000,50.16447368421053
29,1360596300,2375.0
30,1360596600,0.001
31,1360596900,0.001
32,1360597200,0.001
33,1360597500,16.18705035971223
34,1360597800,0.001
35,1360598100,2383.408525652149
36,1360598400,0.001
37,1360598700,0.001
38,1360599000,141178.77331420372
39,1360599300,16.130897317298796
40,1360599600,14723.834111579636
41,1360599900,0.001
42,1360600200,0.001
43,1360600500,0.001
44,1360600800,0.001
45,1360601100,88388.60968801806
46,1360601400,34.58490723609825
47,1360601700,0.001
48,1360602000,2375.0
49,1360602300,3150.8413461538466
50,1360602600,0.001
51,1360602900,28846.42191312798
52,1360603200,74547.5
53,1360603500,460.9021445457615
54,1360603800,3403.125
55,1360604100,0.001
56,1360604400,1365.513392857143
57,1360604700,16.207573454913877
58,1360605000,4253.90625
59,1360605300,0.001
60,1360605600,0.001
61,1360605900,3562.5
62,1360606200,0.001
63,1360606500,0.001
64,1360606800,0.001
65,1360607100,0.001
66,1360607400,0.001
67,1360607700,0.001
68,1360608000,4368.75
69,1360608300,14282.1082638414
70,1360608600,49389.497764165106
71,1360608900,2018.8717532467533
72,1360609200,0.001
73,1360609500,0.001
74,1360609800,0.001
75,1360610100,0.001
76,1360610400,0.001
77,1360610700,0.001
78,1360611000,0.001
79,1360611300,0.001
80,1360611600,0.001
81,1360611900,0.001
82,1360612200,0.001
83,1360612500,0.001
84,1360612800,0.001
85,1360613100,0.001
86,1360613400,0.001
87,1360613700,0.001
88,1360614000,0.001
89,1360614300,0.001
90,1360614600,0.001
91,1360614900,69.07894736842105
92,1360615200,64.03390286807978
93,1360615500,3175.7586562511824
94,1360615800,24139.47578203025
95,1360616100,56.67320143750936
96,1360616400,60.06179620989737
97,1360616700,56.18960899280473
98,1360617000,60.55169574065254
99,1360617300,257.85498051055
100,1360617600,1259.5771334653036
101,1360617900,55.387825770698285
102,1360618200,56.80978888174039
103,1360618500,254.478718216821
104,1360618800,54.314482338178486
105,1360619100,58.51408600224522
106,1360619400,60.343384362190825
107,1360619700,53.02418356286277
108,1360674000,0.001
109,1360674300,0.001
110,1360674600,0.001
111,1360674900,0.001
112,1360675200,0.001
113,1360675500,0.001
114,1360675800,0.001
115,1360676100,0.001
116,1360676400,0.001
117,1360676700,0.001
118,1360677000,0.001
119,1360677300,0.001
120,1360677600,0.001
121,1360677900,39337.09792691755
122,1360678200,0.001
123,1360678500,3737.64980923958
124,1360678800,6118.067249038979
125,1360679100,7854.200121663683
126,1360679400,8077.3714304748255
127,1360679700,8788.183688644602
128,1360680000,16458.47609546648
129,1360680300,93.22709346896653
130,1360680600,50.16447368421053
131,1360680900,0.001
132,1360681200,0.001
133,1360681500,0.001
134,1360681800,0.001
135,1360682100,0.001
136,1360682400,0.001
137,1360682700,0.001
138,1360683000,0.001
139,1360683300,0.001
140,1360683600,0.001
141,1360683900,3073.863636363636
142,1360684200,56026.21393030013
143,1360684500,17113.193824231992
144,1360684800,15746.134536058955
145,1360685100,12769.34663069312
146,1360685400,18766.78200338371
147,1360685700,25804.040142331694
148,1360686000,17778.336308852548
149,1360686300,1216.5625983262544
150,1360686600,17599.607302561046
151,1360686900,2315.0452801469787
152,1360687200,2375.0
153,1360687500,8530.904207660666
154,1360687800,13862.152416197907
155,1360688100,15554.128308507214
156,1360688400,2642.470495774879
157,1360688700,0.001
158,1360689000,0.001
159,1360689300,0.001
160,1360689600,0.001
161,1360689900,0.001
162,1360690200,0.001
163,1360690500,0.001
164,1360690800,0.001
165,1360691100,0.001
166,1360691400,4601.5625
167,1360691700,0.001
168,1360692000,0.001
169,1360692300,124664.97395833333
170,1360692600,0.001
171,1360692900,0.001
172,1360693200,0.001
173,1360693500,2375.0
174,1360693800,0.001
175,1360694100,0.001
176,1360694400,0.001
177,1360694700,0.001
178,1360695000,1781.25
179,1360695300,31367.671130952385
180,1360695600,0.001
181,1360695900,2688.8786764705883
182,1360696200,0.001
183,1360696500,0.001
184,1360696800,785.4567307692308
185,1360697100,1187.5
186,1360697400,0.001
187,1360697700,1425.0
188,1360698000,0.001
189,1360698300,3562.5
190,1360698600,32.608695652173914
191,1360698900,5569.465667704468
192,1360699200,14354.94512987199
193,1360699500,13945.598862347657
194,1360699800,27008.68055555555
195,1360700100,7389.422574782753
196,1360700400,1300.4105803093657
197,1360700700,164.37728937728937
198,1360701000,359.375
199,1360701300,176.41595900910787
200,1360701600,1578.0919991731016
201,1360701900,1711.1158782079056
202,1360702200,1005.4463154327894
203,1360702500,760.1507390572679
204,1360702800,1472.6888197096728
205,1360703100,612.6353108886276
206,1360703400,868.0141746016892
207,1360703700,11281.715005704742
208,1360704000,4172.890316621739
209,1360704300,9905.413657249037
210,1360704600,10.119573597248156
211,1360704900,3487.509856957743
212,1360705200,4547.009119750623
213,1360705500,748.1555429060245
214,1360705800,1178.2047172232512
215,1360706100,5759.633754983599
216,1360760400,69.0198943169093
217,1360760700,38.80369582043343
218,1360761000,67.83139697648376
219,1360761300,70.14523078606273
220,1360761600,70.5592105263158
221,1360761900,65.14918550531914
222,1360762200,68.49804031354984
223,1360762500,65.31005039193728
224,1360762800,68.81648936170212
225,1360763100,66.26189809630459
226,1360763400,64.63815789473685
227,1360763700,65.0202967525196
228,1360764000,0.001
229,1360764300,52508.65644351153
230,1360764600,0.001
231,1360764900,1305.5555555555557
232,1360765200,0.001
233,1360765500,0.001
234,1360765800,8562.560577409145
235,1360766100,17073.65303781463
236,1360766400,752.8481012658228
237,1360766700,0.001
238,1360767000,10501.736111111113
239,1360767300,2209.47265625
240,1360767600,0.001
241,1360767900,0.001
242,1360768200,0.001
243,1360768500,0.001
244,1360768800,975.341796875
245,1360769100,377.80987223647986
246,1360769400,420.1677698375507
247,1360769700,0.001
248,1360770000,0.001
249,1360770300,9106.345902750381
250,1360770600,111130.27467824979
251,1360770900,5679.825682322671
