,windows,doctets/duration
0,1360587600,0.001
1,1360587900,0.001
2,1360588200,0.001
3,1360588500,0.001
4,1360588800,0.001
5,1360589100,0.001
6,1360589400,0.001
7,1360589700,0.001
8,1360590000,0.001
9,1360590300,0.001
10,1360590600,0.001
11,1360590900,0.001
12,1360591200,0.001
13,1360591500,0.001
14,1360591800,0.001
15,1360592100,0.001
16,1360592400,0.001
17,1360592700,0.001
18,1360593000,0.001
19,1360593300,0.001
20,1360593600,0.001
21,1360593900,0.001
22,1360594200,0.001
23,1360594500,0.001
24,1360594800,0.001
25,1360595100,0.001
26,1360595400,0.001
27,1360595700,0.001
28,1360596000,0.001
29,1360596300,0.001
30,1360596600,0.001
31,1360596900,0.001
32,1360597200,0.001
33,1360597500,52.15845352564103
34,1360597800,111.8414104528489
35,1360598100,83.84646988992966
36,1360598400,0.001
37,1360598700,68.6930810767247
38,1360599000,0.001
39,1360599300,0.001
40,1360599600,0.001
41,1360599900,0.001
42,1360600200,0.001
43,1360600500,0.001
44,1360600800,23568.34002224627
45,1360601100,41449.32628418973
46,1360601400,264.2482706823917
47,1360601700,1195.2654744925933
48,1360602000,821.7375454595639
49,1360602300,496.91176061368685
50,1360602600,414.71961749162506
51,1360602900,610.5338290405451
52,1360603200,17680.35351468272
53,1360603500,1315.1852295898445
54,1360603800,621.5966056202861
55,1360604100,738.8148391785189
56,1360604400,0.001
57,1360604700,0.001
58,1360605000,0.001
59,1360605300,0.001
60,1360605600,0.001
61,1360605900,0.001
62,1360606200,0.001
63,1360606500,0.001
64,1360606800,0.001
65,1360607100,0.001
66,1360607400,0.001
67,1360607700,0.001
68,1360608000,0.001
69,1360608300,0.001
70,1360608600,0.001
71,1360608900,0.001
72,1360609200,0.001
73,1360609500,0.001
74,1360609800,0.001
75,1360610100,0.001
76,1360610400,0.001
77,1360610700,0.001
78,1360611000,0.001
79,1360611300,0.001
80,1360611600,0.001
81,1360611900,0.001
82,1360612200,0.001
83,1360612500,0.001
84,1360612800,0.001
85,1360613100,0.001
86,1360613400,0.001
87,1360613700,0.001
88,1360614000,0.001
89,1360614300,0.001
90,1360614600,0.001
91,1360614900,0.001
92,1360615200,0.001
93,1360615500,0.001
94,1360615800,0.001
95,1360616100,0.001
96,1360616400,0.001
97,1360616700,0.001
98,1360617000,0.001
99,1360617300,177.5990099009901
100,1360617600,0.001
101,1360617900,7290.375312166978
102,1360618200,6722.563365937267
103,1360618500,1616.8337958935713
104,1360618800,2165.801156994927
105,1360619100,0.001
106,1360619400,93.75
107,1360619700,70.58076548208128
108,1360674000,0.001
109,1360674300,0.001
110,1360674600,0.001
111,1360674900,0.001
112,1360675200,0.001
113,1360675500,0.001
114,1360675800,0.001
115,1360676100,0.001
116,1360676400,0.001
117,1360676700,0.001
118,1360677000,0.001
119,1360677300,0.001
120,1360677600,0.001
121,1360677900,0.001
122,1360678200,0.001
123,1360678500,0.001
124,1360678800,0.001
125,1360679100,0.001
126,1360679400,0.001
127,1360679700,0.001
128,1360680000,0.001
129,1360680300,0.001
130,1360680600,0.001
131,1360680900,0.001
132,1360681200,0.001
133,1360681500,0.001
134,1360681800,0.001
135,1360682100,0.001
136,1360682400,0.001
137,1360682700,0.001
138,1360683000,0.001
139,1360683300,0.001
140,1360683600,0.001
141,1360683900,0.001
142,1360684200,0.001
143,1360684500,0.001
144,1360684800,0.001
145,1360685100,0.001
146,1360685400,0.001
147,1360685700,0.001
148,1360686000,0.001
149,1360686300,0.001
150,1360686600,0.001
151,1360686900,0.001
152,1360687200,34460.05135601503
153,1360687500,25992.06158721065
154,1360687800,24468.938636036586
155,1360688100,1243.337853438635
156,1360688400,1043.5962770561741
157,1360688700,522.5005391796657
158,1360689000,1006.0821801529665
159,1360689300,13115.400971155776
160,1360689600,505.5260331906325
161,1360689900,1004.0986711445431
162,1360690200,567.6729611686903
163,1360690500,1042.7775648236793
164,1360690800,9.243930520638388
165,1360691100,0.001
166,1360691400,0.001
167,1360691700,0.001
168,1360692000,0.001
169,1360692300,0.001
170,1360692600,0.001
171,1360692900,0.001
172,1360693200,0.001
173,1360693500,0.001
174,1360693800,0.001
175,1360694100,0.001
176,1360694400,0.001
177,1360694700,0.001
178,1360695000,0.001
179,1360695300,0.001
180,1360695600,0.001
181,1360695900,0.001
182,1360696200,0.001
183,1360696500,0.001
184,1360696800,0.001
185,1360697100,0.001
186,1360697400,0.001
187,1360697700,0.001
188,1360698000,0.001
189,1360698300,0.001
190,1360698600,0.001
191,1360698900,0.001
192,1360699200,0.001
193,1360699500,0.001
194,1360699800,0.001
195,1360700100,0.001
196,1360700400,0.001
197,1360700700,0.001
198,1360701000,0.001
199,1360701300,0.001
200,1360701600,0.001
201,1360701900,0.001
202,1360702200,0.001
203,1360702500,0.001
204,1360702800,0.001
205,1360703100,0.001
206,1360703400,0.001
207,1360703700,0.001
208,1360704000,0.001
209,1360704300,0.001
210,1360704600,0.001
211,1360704900,0.001
212,1360705200,0.001
213,1360705500,0.001
214,1360705800,0.001
215,1360706100,0.001
216,1360760400,0.001
217,1360760700,0.001
218,1360761000,0.001
219,1360761300,0.001
220,1360761600,45.6081081081081
221,1360761900,0.001
222,1360762200,0.001
223,1360762500,0.001
224,1360762800,0.001
225,1360763100,0.001
226,1360763400,0.001
227,1360763700,54.464285714285715
228,1360764000,0.001
229,1360764300,0.001
230,1360764600,16.18705035971223
231,1360764900,17.53597122302158
232,1360765200,16.47465729629576
233,1360765500,0.001
234,1360765800,15.957446808510635
235,1360766100,15.95824949698189
236,1360766400,16.18705035971223
237,1360766700,15.957446808510635
238,1360767000,15.957446808510635
239,1360767300,0.001
240,1360767600,14064.82466277949
241,1360767900,17087.281638900877
242,1360768200,17682.785944225416
243,1360768500,1452.3813169713121
244,1360768800,751.8414460944074
245,1360769100,758.7296144366392
246,1360769400,21668.286251049114
247,1360769700,1239.7411784135243
248,1360770000,28688.017225045172
249,1360770300,0.001
250,1360770600,112.57393635222259
251,1360770900,16.62234042553191
252,1360771200,16.61625245258339
253,1360771500,16.014437689969604
254,1360771800,10.791366906474819
255,1360772100,16.072248584111435
256,1360772400,0.001
257,1360772700,74.59938200632365
258,1360773000,17.139384454225585
259,1360773300,0.001
260,1360773600,16.927083333333332
261,1360773900,0.001
262,1360774200,35075.98490725265
263,1360774500,20835.354867240676
264,1360774800,7242.465813129234
265,1360775100,1535.006217268917
266,1360775400,531.1074617305362
267,1360775700,984.1545141309083
268,1360776000,654.9413918320548
269,1360776300,6323.124551061471
270,1360776600,33178.243723354426
271,1360776900,888.5537180250957
272,1360777200,1541.8154761904761
