,windows,doctets/duration
0,1360587600,0.001
1,1360587900,7125.0
2,1360588200,0.001
3,1360588500,10871.53820163331
4,1360588800,80.06650518442972
5,1360589100,121644.15064102566
6,1360589400,7125.0
7,1360589700,0.001
8,1360590000,0.001
9,1360590300,0.001
10,1360590600,0.001
11,1360590900,0.001
12,1360591200,9.09090909090909
13,1360591500,0.001
14,1360591800,0.001
15,1360592100,0.001
16,1360592400,0.001
17,1360592700,0.001
18,1360593000,0.001
19,1360593300,16.07142857142857
20,1360593600,0.001
21,1360593900,0.001
22,1360594200,29.94791666666667
23,1360594500,56.066176470588246
24,1360594800,0.001
25,1360595100,7125.0
26,1360595400,0.001
27,1360595700,3591.382575757576
28,1360596000,56.066176470588246
29,1360596300,0.001
30,1360596600,10607.291666666666
31,1360596900,7125.0
32,1360597200,7125.0
33,1360597500,2716.831140350877
34,1360597800,0.001
35,1360598100,0.001
36,1360598400,0.001
37,1360598700,0.001
38,1360599000,0.001
39,1360599300,0.001
40,1360599600,0.001
41,1360599900,0.001
42,1360600200,0.001
43,1360600500,0.001
44,1360600800,0.001
45,1360601100,0.001
46,1360601400,0.001
47,1360601700,0.001
48,1360602000,0.001
49,1360602300,0.001
50,1360602600,0.001
51,1360602900,0.001
52,1360603200,0.001
53,1360603500,132.23684210526315
54,1360603800,0.001
55,1360604100,15401.704244183053
56,1360604400,6342.892410601048
57,1360604700,2949.8242041078447
58,1360605000,2375.601120720774
59,1360605300,76.50973164116154
60,1360605600,24.44279754062363
61,1360605900,0.001
62,1360606200,0.001
63,1360606500,0.001
64,1360606800,0.001
65,1360607100,0.001
66,1360607400,54662.633928571435
67,1360607700,2797.7907097399006
68,1360608000,0.001
69,1360608300,0.001
70,1360608600,0.001
71,1360608900,0.001
72,1360609200,2878.472222222222
73,1360609500,68.7010078387458
74,1360609800,0.001
75,1360610100,33.333333333333336
76,1360610400,925.282579787234
77,1360610700,137.17105263157893
78,1360611000,0.001
79,1360611300,69.31515957446808
80,1360611600,0.001
