,windows,doctets/duration
0,1360587600,0.001
1,1360587900,0.001
2,1360588200,52.95138888888889
3,1360588500,0.001
4,1360588800,0.001
5,1360589100,0.001
6,1360589400,29819.878472222223
7,1360589700,0.001
8,1360590000,0.001
9,1360590300,0.001
10,1360590600,0.001
11,1360590900,0.001
12,1360591200,0.001
13,1360591500,0.001
14,1360591800,0.001
15,1360592100,0.001
16,1360592400,2375.0
17,1360592700,1814.5833333333333
18,1360593000,0.001
19,1360593300,0.001
20,1360593600,0.001
21,1360593900,75322.50344738922
22,1360594200,0.001
23,1360594500,59.5703125
24,1360594800,72048.07578341475
25,1360595100,4754.607146290718
26,1360595400,21679.601853729728
27,1360595700,17296.0612125829
28,1360596000,50.16447368421053
29,1360596300,4548.776991220889
30,1360596600,2195.765515345511
31,1360596900,383.12476270816643
32,1360597200,0.001
33,1360597500,0.001
34,1360597800,278249.2124240891
35,1360598100,0.001
36,1360598400,3203.125
37,1360598700,0.001
38,1360599000,0.001
39,1360599300,0.001
40,1360599600,0.001
41,1360599900,0.001
42,1360600200,0.001
43,1360600500,0.001
44,1360600800,233645.83333333328
45,1360601100,15475.665247933812
46,1360601400,10051.950541734275
47,1360601700,0.001
48,1360602000,0.001
49,1360602300,0.001
50,1360602600,0.001
51,1360602900,24146.62700606555
52,1360603200,4221.276171633906
53,1360603500,237.3835403726708
54,1360603800,31.914893617021274
55,1360604100,0.001
56,1360604400,0.001
57,1360604700,41182.291666666664
58,1360605000,449.87824675324674
59,1360605300,57050.80852106691
60,1360605600,2218.3433344646714
61,1360605900,1428.1264451535328
62,1360606200,0.001
63,1360606500,655.9475806451613
64,1360606800,0.001
65,1360607100,0.001
66,1360607400,0.001
67,1360607700,0.001
68,1360608000,0.001
69,1360608300,0.001
70,1360608600,0.001
71,1360608900,0.001
72,1360609200,0.001
73,1360609500,0.001
74,1360609800,0.001
75,1360610100,0.001
76,1360610400,0.001
77,1360610700,0.001
78,1360611000,0.001
79,1360611300,0.001
80,1360611600,0.001
81,1360611900,0.001
82,1360612200,0.001
83,1360612500,17920.4314451322
84,1360612800,28493.916468236173
85,1360613100,0.001
86,1360613400,0.001
87,1360613700,88635.63927584799
88,1360614000,3764.5241482329316
89,1360614300,1793.2843735747947
90,1360614600,19791.546728295594
91,1360614900,16975.418741463225
92,1360615200,0.001
93,1360615500,10798.426950240568
94,1360615800,48.75
95,1360616100,4972.3307380245615
96,1360616400,5809.418376864761
97,1360616700,16.79292929292929
98,1360617000,17745.13519990713
99,1360617300,0.001
100,1360617600,0.001
101,1360617900,0.001
102,1360618200,0.001
103,1360618500,75.84527035746548
104,1360618800,798.5430959258591
105,1360619100,0.001
106,1360619400,1425.0
107,1360619700,19202.998916973655
108,1360674000,0.001
109,1360674300,0.001
110,1360674600,0.001
111,1360674900,0.001
112,1360675200,0.001
113,1360675500,0.001
114,1360675800,0.001
115,1360676100,0.001
116,1360676400,0.001
117,1360676700,0.001
118,1360677000,0.001
119,1360677300,0.001
120,1360677600,0.001
121,1360677900,0.001
122,1360678200,0.001
123,1360678500,0.001
124,1360678800,13605.96478174603
125,1360679100,0.001
126,1360679400,0.001
127,1360679700,0.001
128,1360680000,0.001
129,1360680300,344.18402777777777
130,1360680600,2375.0
131,1360680900,0.001
132,1360681200,0.001
133,1360681500,0.001
134,1360681800,0.001
135,1360682100,41810.97454103424
136,1360682400,43128.77508601955
137,1360682700,0.001
138,1360683000,0.001
139,1360683300,7180.09482577808
140,1360683600,7125.0
141,1360683900,0.001
142,1360684200,0.001
143,1360684500,0.001
144,1360684800,0.001
145,1360685100,33189.00649655371
146,1360685400,4640.625
147,1360685700,0.001
148,1360686000,0.001
149,1360686300,0.001
150,1360686600,0.001
151,1360686900,3562.5
152,1360687200,16999.19434167657
153,1360687500,3087.9859019975333
154,1360687800,175.93703173818426
155,1360688100,213.69981559212513
156,1360688400,0.001
157,1360688700,1583.3333333333333
158,1360689000,1781.25
159,1360689300,1187.5
160,1360689600,2375.0
161,1360689900,0.001
162,1360690200,0.001
163,1360690500,0.001
164,1360690800,2375.0
165,1360691100,2375.0
166,1360691400,0.001
167,1360691700,0.001
168,1360692000,2375.0
169,1360692300,1306.25
170,1360692600,0.001
171,1360692900,0.001
172,1360693200,0.001
173,1360693500,0.001
174,1360693800,0.001
175,1360694100,0.001
176,1360694400,41136.29404495605
177,1360694700,0.001
178,1360695000,2375.0
179,1360695300,0.001
180,1360695600,0.001
181,1360695900,0.001
182,1360696200,2375.0
183,1360696500,0.001
184,1360696800,3562.5
185,1360697100,2375.0
186,1360697400,0.001
187,1360697700,1900.0
188,1360698000,0.001
189,1360698300,0.001
190,1360698600,28.84615384615385
191,1360698900,1781.25
192,1360699200,19447.265625
193,1360699500,98432.03125
194,1360699800,365.7718613628735
195,1360700100,7125.0
196,1360700400,7125.0
197,1360700700,3562.5
198,1360701000,7125.0
199,1360701300,22175.191287616388
200,1360701600,0.001
201,1360701900,0.001
202,1360702200,0.001
203,1360702500,26308.79016517326
204,1360702800,34459.39972116623
205,1360703100,8016.437804773727
206,1360703400,16337.899331319442
207,1360703700,2287.0820578785574
208,1360704000,63.699661272111406
209,1360704300,93.73831427970799
210,1360704600,0.001
211,1360704900,0.001
212,1360705200,0.001
213,1360705500,0.001
214,1360705800,0.001
215,1360706100,0.001
216,1360760400,0.001
217,1360760700,0.001
218,1360761000,0.001
219,1360761300,2375.0
220,1360761600,0.001
221,1360761900,0.001
222,1360762200,0.001
223,1360762500,0.001
224,1360762800,0.001
225,1360763100,0.001
226,1360763400,0.001
227,1360763700,0.001
228,1360764000,13758.074354758002
229,1360764300,1781.25
230,1360764600,434.75971270352113
231,1360764900,39912.99365788827
232,1360765200,15981.86117215416
233,1360765500,11604.362427037282
234,1360765800,436.02585746473704
235,1360766100,20133.649553571428
236,1360766400,0.001
237,1360766700,5604.970928534145
238,1360767000,0.001
239,1360767300,5298.654619984708
240,1360767600,15.078671328671328
241,1360767900,15.957446808510635
242,1360768200,0.001
243,1360768500,0.001
244,1360768800,0.001
245,1360769100,0.001
246,1360769400,0.001
247,1360769700,17286.524776041297
248,1360770000,101068.33081385418
249,1360770300,19545.700760551856
250,1360770600,17034.497530805293
251,1360770900,7196.960317319367
252,1360771200,75.23998347860403
253,1360771500,79.07415972864631
254,1360771800,9345.721726190477
255,1360772100,131.25
256,1360772400,0.001
257,1360772700,34.574468085106375
258,1360773000,0.001
259,1360773300,0.001
260,1360773600,12741.348911609763
261,1360773900,79182.6605982599
262,1360774200,9035.226486860303
263,1360774500,0.001
264,1360774800,0.001
265,1360775100,0.001
